,x
1,5
2,-2
3,-2
4,-5
5,-12
6,-2
7,-7
8,-1
9,0
10,-17
11,2
12,0
13,-2
14,-9
15,4
16,1
17,-15
18,-18
19,-5
20,3
21,7
22,0
23,13
24,4
25,-7
26,2
27,2
28,35
29,-2
30,-15
31,0
32,-3
33,0
34,-3
35,-4
36,-1
37,0
38,-11
39,0
40,0
41,-21
42,0
43,-1
44,0
45,-4
46,-1
47,6
48,-4
49,6
50,-4
51,-7
52,21
53,-6
54,-2
55,-1
56,-6
57,3
58,0
59,-39
60,-8
61,-3
62,-8
63,0
64,-4
65,25
66,0
67,0
68,0
69,0
70,2
71,6
72,-3
73,-5
74,-20
75,1
76,2
77,0
78,5
79,7
80,10
81,-3
82,1
83,-8
84,-5
85,0
86,-3
87,8
88,-9
89,-5
90,-14
91,-4
92,3
93,-1
94,0
95,-10
96,-7
97,-1
98,0
99,-8
100,0
101,-8
102,-7
103,-15
104,-5
105,-1
106,1
107,-6
108,2
109,-13
110,-11
111,-19
112,-1
113,3
114,2
115,-9
116,-1
117,0
118,-1
119,-7
120,-9
121,-8
122,-7
123,1
124,-7
125,6
126,0
127,0
128,-4
129,-13
130,0
131,2
132,-4
133,-1
134,0
135,3
136,0
137,-9
138,2
139,-10
140,4
141,-5
142,3
143,-3
144,2
145,1
146,1
147,7
148,-4
149,-5
150,11
151,5
152,-15
153,-7
154,-5
155,-1
156,0
157,-2
158,-2
159,0
160,0
161,6
162,-5
163,3
164,-1
165,0
166,-6
,-2.144578313
